ID,site,area,section,block,house,room,cisi,m77id,excavation,idno,reference,period,phase,boss,shape,depth,crossx,type,color,horizontal,vertical,thickness,horizontalmm,verticalmm,thicknessminmm,thicknessmaxmm,material,museum,textcondition,artefactpreservation,cult,symbol,notes,inscribedsides,stylegroup,class,lines,direction,signs,complete,alignment,signheight,images,text,keywords,symbol,symbolsubtype,animalfacing,cultobject,complete,images
20,Bala-kot,,,,,,,0,BLK-104,,,,,,square,,,SEAL:S,,,,,0,0,0,0,,,Poor,complete,R,Bull1,,1,,SC,1,R/L,      ,6,Y,Linear,Adapted,+390-717-061-002-368-634+,Bull1,Bull1,Bull1:?:n,R,R,N,,
21,Bala-kot,,,,,,,0,3 BLK-1975,,,,,,square,,,SEAL:S,,,,,0,0,0,0,,,Poor,chipped,SAN,Bull1:II,,1,,UC,1,R/L,     ,5,N,Linear,Equal,+000-388-233-000-000+,Bull1,Bull1,Bull1:II,R,SAN,Y,,
22,Bala-kot,,,,,,,0,2 BLK- 222,,,,,,square,,,SEAL:S,,,,,0,0,0,0,,,Poor,complete,SAN,Bull1:II,,1,,SC,1,R/L,     ,5,Y,Linear,Unequal,+527-554-298-368-634+,Bull1,Bull1,Bull1:II,R,SAN,Y,,
23,Bala-kot,,,,,,,0,3 BLK- 189,,,,,,,,,BNGL,Red,,,,0,0,0,0,,,Poor,complete,None,None,Red painting.,1,,UC,1,R/L,   ,3,N,,,+750-790-000+,,
24,Bala-kot,,,,,,,0,4 BLK- 21,,,,,,square,,,SEAL:S,,,,,0,0,0,0,,,Good,complete,S520,Bull3,,1,,NU,1,, ,1,Y,Indefinable,Indefinable,+415+,Bull3,Bull3,Bull3,L,S520,Y,,
25,Banawali,,,,,,<  ,0,,,,,,,square,,,SEAL:S,,,,,0,0,0,0,,,Poor,complete,,Htgr,,1,,SS,1,R/L,  ,2,Y,,,+740-482+,Htgr,Htgr,Htgr,,,,,
26,Banawali,,,,,,<  ,0,,,NHK Promotions 2000,,,,square,,,SEAL:S,,,,,17,17,11,0,,,Fair,complete,None,Goat:1,,1,,UC,1,R/L,  ,2,Y,Indefinable,Indefinable,+520-001+,Goat:1,Goat,Goat:1,L,None,Y,,
27,Banawali,,,,,,,0,BNL1 1027,,,,,PBSG,square,,,SEAL:S,,,,,0,0,0,0,,,Fair,complete,HAF,Bull1:O,,1,,LP,1,R/L,       ,7,Y,Partly linear,Unequal,+090-740-220-002-368-550-821+,Bull1,Bull1,Bull1:O,L,HAF,Y,,
28,Banawali,,,,,,,0,BNL1 5026,,Konasukawa (2013),II,,PB,square,,,SEAL:S,,,,,0,0,0,0,,,Poor,complete,S520,Bull1,Sign 14 not an exact fit.,1,,SS,1,R/L,  ,2,Y,Linear,Equal,+220-014+,Bull1,Bull1,Bull1:?:n,L,S520,Y,,
29,Banawali,,,,,,,0,BNL 5473,,,,,PB,square,,,SEAL:S,,,,,0,0,0,0,,,Poor,complete,S390,Bull3,,1,,UC,1,R/L,  ,2,Y,Linear,Equal,+740-797+,Bull3,Bull3,Bull3,L,S390,Y,,
30,Banawali,,,,,,,9203,BNL 9903,,Konasukawa (2013), DAH,II,,PBRF,square,,,SEAL:S,,,,,0,0,0,0,,,Fair,complete,None,Bull3,,1,,SS,1,R/L,  ,2,Y,Linear,Equal,+002-817+,Bull3,Bull3,Bull3,L,None,Y,,
31,Banawali,,,,,,,0,BNL 551,,Konasukawa 2020: 50,II,,PBRF,square,,,SEAL:S,,,,,22.8,21.8,3.5,7.2,Steatite,,Fair,complete,None,Buff,,1,,SS,1,R/L,  ,2,Y,Linear,Equal,+002-817+,Buff,Buff,Buff,L,None,N,,
32,Banawali,,,,,,,0,BNL 312,,,,,PBVG,square,,rectangular,SEAL:S,,,,,21,20.5,3.5,7,Steatite,,Fair,complete,None,Goat:4,,1,,SS,1,R/L,  ,2,Y,Linear,Equal,+740-061+,Goat:4,Goat,Goat:4,L,None,Y,,
33,Banawali,,,,,,,0,BNL1 1028,,,,,PBVF,square,,rectangular,SEAL:S,,,,,22.5,20.5,4.5,8,Steatite,,Fair,complete,None,Goat:3,,1,,SS,1,R/L,  ,2,Y,Linear,Equal,+390-004+,Goat:3,Goat,Goat:3,L,None,Y,,
34,Banawali,,,,,,,9204,BNL 9204,,Konasukawa (2013), DAH,II,,PBRF,square,,,SEAL:S,,,,,14.3,12.5,3.1,6.9,Steatite,,Fair,complete,S390,Goat:3,,1,,NU,1,, ,1,Y,Indefinable,Indefinable,+007+,Goat:3,Goat,Goat:3,L,S390,Y,,
