ID,site,area,section,block,house,room,cisi,m77id,excavation,idno,reference,period,phase,boss,shape,depth,crossx,type,color,horizontal,vertical,thickness,horizontalmm,verticalmm,thicknessminmm,thicknessmaxmm,material,museum,textcondition,artefactpreservation,cult,symbol,notes,inscribedsides,stylegroup,class,lines,direction,signs,complete,alignment,signheight,images,text,keywords,symbol,symbolsubtype,animalfacing,cultobject,complete,images
100,Chanhujo-daro,,,,sq. 7/E,loc. 300,,6231,CH 2530,Pl. LII:31,ASI 63.12.26,,,PB,square,+9.5,,SEAL:S,White,1.02,1.02,0.5,25.9,25.9,0,12.7,Steatite,,Poor,complete,SAN,Bull1:L,,1,,LP,1,R/L,       ,7,Y,Linear,Unequal,+161-390-590-031-740-060-920+,Bull1,Bull1,Bull1:L,R,SAN,Y,,
101,Chanhujo-daro,,,,sq. 8/C,loc. 152,,6221,CH 2358,Pl. LII:21,ASI 63.12.17,,,PB,square,+11.1,,SEAL:S,White,1,1,0.58,0,25.4,0,14.7,Steatite,,Poor,fragment,SAN,Bull1:J,,1,,UC,1,R/L,     ,5,N,Partly linear,Adapted,]000-220-032-060-766+,Bull1,Bull1,Bull1:J:n,R,SAN,N,,
102,Chanhujo-daro,,,,sq. 7/E,loc.121,,6108,CH 3159,Pl. LI:8,ASI 63.12.10,,,PB,square,+7.8,,SEAL:S,Grey,1..5,1.0,0.4,38.1,25.4,0,10.2,Steatite,,Poor,complete,None,Bull1,Secondary text incised.,1,,??,1,,  ,2,N,Indefinable,Indefinable,+000-235+,Bull1,Bull1,Bull1:?:n,R,None,Y,,
103,Chanhujo-daro,,,,sq, 10/D,loc. 362,,6213,CH 2603,Pl. LII:13,ASI 63.12.6,,,PB,square,+6.8,,SEAL:S,White,0.75,0.75,0.23,19.05,19.05,0,5.8,Steatite,,Fair,complete,SAN,Bull1:W,,1,,SC,1,R/L,    ,4,Y,Linear,Unequal,+740-400-920-031+,Bull1,Bull1,Bull1:W:n,R,SAN,Y,,
104,Chanhujo-daro,,,,sq, 7/E,loc. 164,,6222,CH 2595,Pl. LII:22,ASI 63.12.3,,,PB,square,+9.3,,SEAL:S,Brown,0.8,0.78,0.42,20.3,19.8,0,10.7,Steatite,,Fine,complete,SAN,Bull1:L,,1,,SP,1,R/L,     ,5,Y,Linear,Adapted,+429-003-741-060-920+,Bull1,Bull1,Bull1:L:n,R,SAN,Y,,
105,Chanhujo-daro,,,,sq. 9/B,loc.442,,6122,CH 3207,Pl. LI:22,ASI 63.12.29,,,PB,square,+7.7,,SEAL:S,White,0.82,0.83,0.39,20.8,21.1,0,9.9,Steatite,,Good,complete,Anth,Bull1:I,,1,,SS,1,R/L,  ,2,Y,Linear,Equal,+740-100+,Bull1,Bull1,Bull1:I:n,L,Anth,Y,,
106,Chanhujo-daro,,,,sq. 8/F,loc. 83,,6216,CH 1393,Pl. LII:16,ASI 63.12.12,,,PBSG,square,+15.4,rectangular,SEAL:S,Black,0.88,0.88,0.32,22.35,22.35,8.13,0,Steatite,,Poor,partly damaged,,Bull1,,1,,UC,1,R/L,    ,4,N,Linear,Equal,]000-031-002-817+,Bull1,Bull1,Bull1,R,S,N,,
107,Chanhujo-daro,,,,sq. 10/C,loc. 385,,6210,CH 3326,Pl. LII:10,ASI 63.12.20,,,PB,square,+6.9,,SEAL:S,White,0.61,0.62,0.34,15.5,15.7,0,8.6,Steatite,,Fair,complete,SAN,Bull1:I,,1,,SC,1,R/L,     ,5,Y,Partly linear,Unequal,+151-790-031-790-495+,Bull1,Bull1,Bull1:I:n,R,SAN,Y,,
108,Chanhujo-daro,,,trench J(1),,loc. 73,,6209,CH 950, Pl. LII:9,ASI 63.12.15,,,PB,square,-0.1,,SEAL:S,White,0.45,0.45,0.3,11.4,11.4,0,7.6,Steatite,,Fair,complete,SAN,Bull1:II,,1,,SS,1,R/L,  ,2,Y,Linear,Unequal,+156-230+,Bull1,Bull1,Bull1:L:n,R,SAN,Y,,
109,Chanhujo-daro,,,,sq. 9/D,loc. 215,,6115,CH 2285,Pl. LI:15,ASI 63.12.16,,,PB,square,+10.4,,SEAL:S,White,1.04,1.04,0.5,26.4,26.4,0,12.7,Steatite,,Good,complete,Trough,Gaur,,1,,2L,2,,       ,6,Y,Linear,Equal,+440-390-032/368-390-790+,Gaur,Gaur,Gaur,R,Trough,Y,,
110,Chanhujo-daro,,,,,,,6402,CH  372 (t),,,,,PBRF,square,,,SEAL,,,,,27,27,5,11,Steatite,NMI 174,Fair,complete,None,Mult,Or CH 248 (o).  Not given in Mackay (1943).,1,,LC,1,BUS,        ,8,Y,Unordered,Unequal,+129-817-310-350-128-857-003-388+,Mult, Goat:2, Hgls,Mult,Mult,L,None,Y,,
111,Chanhujo-daro,,,,sq. 8/F,LOC. 115,,6116,CH 3049,Pl. LI:16,ASI 63.12.19,,,PB,square,+6.5,,SEAL:S,White,1.47,0.35,0.55,37.3,8.9,0,14,Steatite,,Poor,fragment,,Tigr,Fragment: lower part is missing.,1,,2L,2,R/L,           ,10,Y,Partly linear,Unequal,+390-128-702-002/226-032-002-001-480-850+,Tigr,Tigr,Tigr,R,,N,,
112,Chanhujo-daro,,,,,,,6403,CH 248,,,,,PBVI,square,,,SEAL:S,,,,,25,25,6,0,Steatite,NMI 171,Poor,chipped,None,None,Or CH 372 (o). Not given in Mackay (1943). Note that 32/32 is normally PA.,1,,2L,2,R/L,           ,10,N,Linear,Equal,+032-031-740-384-032/000-000-840-634-032+,,
113,Chanhujo-daro,,,,sq. 8/C,loc. 231,,6111,CH 3485 (b),Pl. LI:11,ASI 63.12.13,,,PB,square,+7.2,,SEAL:S,White,0.91,0.91,0.41,23.1,23.1,10.4,0,Steatite,,Good,complete,None,None,,1,,SC,1,R/L,   ,3,Y,Strong linear,Equal,+822-140-015+,,
114,Chanhujo-daro,,,,sq. 7/E,loc. 122,,6123,CH 2532,Pl. LI:23,ASI 63.12.9,,,PBSG,circular,,rectangular,SEAL:C,White,1.28,1.28,0.52,32.5,32.5,6.5,13.2,Steatite,,Poor,chipped,RAN,Bull1:W,,1,,SC,1,R/L,    ,4,Y,Linear,Equal,+375-400-390-632+,Bull1:W,Bull1,Bull1:W:n,R,RAN,Y,,
115,Chanhujo-daro,,,,Trench B(5),loc.56,,6104,CH 518,Pl. LI:4,ASI 63.57.77,,,NN,circular,+0.8,rectangular,MISC,Grey,1.5,1.64,0.32,38.1,41.7,8.1,0,Steatite,,Poor,complete,None,None,Not a seal ie not intaglio. Read two line bustrophedon.,1,,2L,2,BUS,      ,5,N,,,+220-000-740/741-255+,,
116,Chanhujo-daro,,,,Cutting,loc. 469,,6233,CH 4470,Pl. LII:33,ASI,,,,rectangular,-1.12,,TAB:B,Red,1.8,0.41,0.3,45.7,10.4,7.6,0,Clay,,Poor,complete,None,Gavi,Excavation no. given as 4770, as it is for C-31.,1,,UC,1,R/L,         ,9,N,,,+032-031-390-844-000-000-032-803-220+,Gavi,Gavi,Gavi,,None,N,,
117,Chanhujo-daro,,,,sq. 8/F,loc. 182,,6234,CH 1954,Pl. LII:34,ASI 63.12.35,,,,rectangular,+10.8,,TAB:B,Yellow,0.75,0.47,0.25,19.05,11.9,6.35,0,Faience,,Fair,fragment,None,None,Cream paste with yellow glaze; maybe a fragment.,1,,SC,1,,   ,3,?,,,+031-705-167[,,
118,Chanhujo-daro,Mound II,,,,loc. 480,,6304,CH 5032,Pl. XXXVIII:3,,,,,,-1.4,,POT:T:g,Cream,,6.7,,0,170,0,0,Clay,NMI 1058,Poor,fragment,None,None,,1,,UC,1,R/L,   ,3,?,,Unequal,+520-515-255[,,
119,Chanhujo-daro,,,,,,,0,CH 2529 U,Pl. LXIII:2,ASI 74.1.47,,,,,,,MISC,,,,,0,0,0,0,Copper,,Poor,fragment,None,None,,1,,UC,1,T/B,    ,4,N,,,+220-063-706-000+,,
120,Chanhujo-daro,Mound II,,,sq. 8/C,loc. 297,,0,CH 2529 H,Pl. LXXIV:2,ASI 74.1.48,,,,,+10,,ROD,,,,,349,36,0,0,Copper,,Poor,complete,None,None,,1,,UC,1,T/B,   ,3,Y,,Unequal,+909-540-540+,,
121,Chanhujo-daro,,,,sq. 8/C,loc. 297,,6306,CH 2596 A,LXXIV:1 + 1A,ASI 74.1.76,,,,,+9.3,,IMPL,,2.67,3.43,0.28,68,87,7,0,Copper,,Poor,fragment,None,None,,2,,PP,1,R/L,        ,8,N,,,+740-000-835-240-235-031-900-066+,LC,1,R/L,        ,8,Y,,,+390-095-909-005-825-776-220-016+,,
122,Daimabad,,,,,,,0,DMD 5 II x'3,,,,,NBCF,circular,,rectangular,MISC,,,,,0,0,0,0,,,Good,complete,None,None,,1,,UC,1,, ,1,Y,Indefinable,Indefinable,+740+,,
123,Desalpur,,,,,,,9071,,,IAR:1963-64:Pl.VIII.B,,,PN,cuboid-convex,,plano-convex,SEAL:R,,,,,0,0,0,0,,,Good,complete,None,None,,1,,LP,1,R/L,        ,8,Y,Linear,Equal,+740-920-320-233-240-001-002-817+,,
124,Desalpur,,,,,,,0,,,,,,PN,cuboid-convex,,plano-convex,SEAL:R,,,,,0,0,0,0,,,Fair,complete,None,None,,1,,SC,1,,    ,4,Y,Linear,Equal,+590-407-790-440+,,
125,Desalpur,,,,,,,9073,,,IAR:1963-64:Pl.VIII.C,,,,rectangular,,,TAG,,,,,0,0,0,0,,,Fair,slightly chipped,None,None,,1,,SC,1,,     ,5,Y,,,+394-032-002-892-740+,,
126,Dholavira,,,,,,<  ,0,341,ASI 89,,,,,square,,,SEAL:S,,2.1,2.0,1.5,21,20,1.5,0,Steatite,,Fair,complete,None,Comp,,1,,2L,2,BUS,        ,7,N,Unordered,Unequal,+740-760-000-742-013/742-552+,Multy headed composition, Goat, Bull1,  Gaur,Comp,,L,None,Y,,
127,Dholavira,,,,,,<  ,0,345,ASI 90,Bisht 2015:235,,,,square,,,SEAL:S,White,2.5,2.5,1.4,25,25,1.4,0,Steatite,,Good,complete,RCF,Bull1:W,,1,,SS,1,R/L,   ,3,Y,Linear,Unequal,+151-892-032+,Bull1,Bull1,Bull1:W:n,R,RCF,Y,,
